http://realec.org/index.xhtml#/exam/exam2017_2/ABl_24_2; Compound_word;  They say that music and films belong to the whole human kind.; human kind; humankind
http://realec.org/index.xhtml#/exam/exam2017_3/DOv_9_1; Compound_word; For 3 given social nets (Facebook, Instagram and Linkedin) the graph shows their popularity among 4 different age groups.; nets; networks
http://realec.org/index.xhtml#/exam/exam2017_3/DOv_9_1; Compound_word;  The graph indicates that Facebook is the most commonly used social net among all groups with 87% of adults aged 18-29 using it being the highest ratio and then steadily decreasing with the increase of age up to 56% for those aged 65+.; net; network
http://realec.org/index.xhtml#/exam/exam2017_3/DOv_9_1; Compound_word;  Instagram shows the same dynamics: it is most actively used by young adults aged 18-29 with 53% out of all using it and least popular among those who are above 56 with only 6% of them using this particular social net.; net; network
http://realec.org/index.xhtml#/exam/exam2017_3/DOv_9_1; Compound_word;  Therefore, we see that for Facebook and Instagram the younger the person, the more likely he is to be using the social net, while with LinkedIn the thing is different and it is more popular with people aged 30-64.; net; network
http://realec.org/index.xhtml#/exam/exam2017_3/DOv_9_1; Compound_word;  The graph can also be looked at as an indication of relative popularity of a particular social net depending on the age group.; net; network
http://realec.org/index.xhtml#/exam/exam2017_3/DOv_9_1; Compound_word;  Distortion for LinkedIn is quite small - around 10% points and for Facebook is steady - for each 10-year increase, the drop of the % usage of the social net is around 10% with the overall drop from maximum to minimum being 30% point.; net; network
http://realec.org/index.xhtml#/exam/exam2017_3/DOv_6_1; Compound_word; 
The younger population tend to use social networks more actively than other age groups, despite the fact that the precentage use of LinkedIn is higher among medium-aged population.; medium-aged; middle-aged
http://realec.org/index.xhtml#/exam/exam2017_4/DPe_64_2; Compound_word; 
To conclude, we have the situation when the illegal copying and sharing of the media content is wildspread.; wildspread; widespread
http://realec.org/index.xhtml#/exam/exam2017_5_1/EGe_117_1; Compound_word; ﻿The bar chart illustrates the percentage of online grown ups in the United States of America by age groups who use various types of social networks.; grown ups; grown-ups
http://realec.org/index.xhtml#/exam/exam2017_5_1/EGe_11_2; Compound_word; 
To begin with, the main cause for criminal activity of young people is the growth of violence in the social media and sphere of entertainment, to be mor precise, cinema and videogames.; videogames; video games
http://realec.org/index.xhtml#/exam/exam2017_5_1/EGe_15_2; Compound_word;  I suppose, it is important to help people, who can not afford buying even some basic and essential things.; can not; cannot
http://realec.org/index.xhtml#/exam/exam2017_5_1/EGe_15_2; Compound_word;  What is more, disabled person can not work well because of his or her disability but he or she still needs to buy food, medicines and some other stuff.; can not; 
http://realec.org/index.xhtml#/exam/exam2017_5_1/EGe_112_1; Compound_word;  This occasion shows us how videogames affort on teenager's minds and parents should control their childer what their are doing.; ; 
http://realec.org/index.xhtml#/exam/exam2017_5_1/EGe_88_2; Compound_word; 
Finally, both the parents and the teachers are the main role models for children, thereby being a lawful and considerate individual in the eyes of the child is essential.; lawful; law-abiding
http://realec.org/index.xhtml#/exam/exam2017_5_1/EGe_79_2; Compound_word;  Teachers should allow students to be able to do at least paper work which will be payed or help shool with doing some research.; paper work; paperwork
http://realec.org/index.xhtml#/exam/exam2017_5_1/EGe_79_2; Compound_word; ﻿Crimes as robbery, pick-pocketing and burglary become the highly discussed topic in the modern society.; pick-pocketing; pickpocketing
http://realec.org/index.xhtml#/exam/exam2017_5_1/EGe_23_2; Compound_word;  The government has to create job places where young people can do something to earn money.; job places; workplaces
http://realec.org/index.xhtml#/exam/exam2017_5_1/EGe_23_2; Compound_word; 
In some deprieved countries the government is not able to generate job places for residents and when people can't find any duty to do they try to get money by other ways such as crime.; job places; workplaces
http://realec.org/index.xhtml#/exam/exam2017_5_1/EGe_85_2; Compound_word; 
In conclusion, I would like to say that of course every thing has both advantages and disavantages, but we should not forget that hobbies have a lot of social benefits, and observing of sports is not an exception.; every thing; everything
http://realec.org/index.xhtml#/exam/exam2017_5_1/EGe_100_1; Compound_word; ﻿The bar chart below demonstrates the data about two types of books production in 2014 and predictable changes by 2018 for four countries.; ; 
http://realec.org/index.xhtml#/exam/exam2017_5_1/EGe_100_1; Compound_word; ﻿The bar chart below demonstrates the data about two types of books production in 2014 and predictable changes by 2018 for four countries.; ; 
