http://realec.org/index.xhtml#/exam/exam2017_4/DPe_15_2; Derivation;  So if the government punishes one illegal actions why doesn’t it do the same to the other.; other; others
http://realec.org/index.xhtml#/exam/exam2017_4/DPe_3_1; Derivation; The bar chart illustrates differences in the unemployment rate in several worlds areas in 2014 and 2015.; worlds; world
http://realec.org/index.xhtml#/exam/exam2017_4/DPe_30_2; Derivation;  In result, download files are in a very bad quality.; download; downloaded
http://realec.org/index.xhtml#/exam/exam2017_4/DPe_57_1; Derivation;  The same shows us graphic in North Africa and South Asia, the numbers stayed on the same level for 1 year.; graphic; the graph
http://realec.org/index.xhtml#/exam/exam2017_4/DPe_68_1; Derivation;  Unfortunately, in the Europe Union unemployment rate had grown.; Europe; European
http://realec.org/index.xhtml#/exam/exam2017_4/DPe_82_2; Derivation; 
In summary, the consumer must give the give the author an opportunity to make money until the second one has a desire to make a present to the world by self.; self; himself
http://realec.org/index.xhtml#/exam/exam2017_4/DPe_18_2; Derivation;  For example, many Americans firms don’t enter to Russian market, because russian authorities don’t deal with illegal products
Secondly, this situation strictly influences social habits and behaviour.; Americans; American
http://realec.org/index.xhtml#/exam/exam2017_4/DPe_84_2; Derivation;  Firstly, because of great financial losts which it causes.; losts; losses
http://realec.org/index.xhtml#/exam/exam2017_4/DPe_84_2; Derivation;  So, audience can watch films and serials, listen to music, and don’t have a great losts in money.; losts; losses
http://realec.org/index.xhtml#/exam/exam2017_4/DPe_46_2; Derivation; 
To sum up, I want to say that human society needs to come up with a solution for everybody, not just for one separated group of people.; separated; separate
http://realec.org/index.xhtml#/exam/exam2017_4/DPe_81_2; Derivation;  For instance, musicians go on tour and give concerts and filmmakers have an income while their works are shown in cinematheatres.; cinematheatres; cinemas
http://realec.org/index.xhtml#/exam/exam2017_4/DPe_43_2; Derivation;  They make their own work as all other people including politics and policy and therefore they have to get their salary.; politics; politicians
http://realec.org/index.xhtml#/exam/exam2017_4/DPe_43_2; Derivation;  They make their own work as all other people including politics and policy and therefore they have to get their salary.; policy; the police
http://realec.org/index.xhtml#/exam/exam2017_4/DPe_43_2; Derivation; 
To sum up, it is evident that such copying of information is illegal activity as people who produce all this music and films have great harm.; great; greately
http://realec.org/index.xhtml#/exam/exam2017_4/DPe_47_2; Derivation;  Unfortunately, the majoritys households income is only enough to buy good of first need, like food and cloths.; cloths; clothes
http://realec.org/index.xhtml#/exam/exam2017_4/DPe_78_2; Derivation; 
Actually, common citizens do not even know about piracy and how it affects on artsmen.; artsmen; artists
http://realec.org/index.xhtml#/exam/exam2017_5_1/EGe_76_1; Derivation;  The ratio of young and old adults is the same 0f 22 per cent, the proportions of people from 30 and 49 and adults between 50 and 64 are also almost the same - 31 and 30 per cent respectivly.; respectivly; respectively
http://realec.org/index.xhtml#/exam/exam2017_5_1/EGe_95_1; Derivation; 
The second graph demonstrates the birth and death rates both gradually falling down through years, birth rate staying higher than death one.; through; throughout
http://realec.org/index.xhtml#/exam/exam2017_5_1/EGe_77_1; Derivation; Let me analize the charts.; analize; analyze
http://realec.org/index.xhtml#/exam/exam2017_5_1/EGe_101_2; Derivation;  More adolescents became thieves or even murders and it cannot but grieve.; murders; murderers
http://realec.org/index.xhtml#/exam/exam2017_5_1/EGe_101_2; Derivation;  They begin to steal food from supermarkets, bull and beat their classmates in order to take their money, jump from the trains and do any other dangerous and indecent things.; bull; bully
http://realec.org/index.xhtml#/exam/exam2017_5_1/EGe_87_2; Derivation;  Some people deside to start up their own business but others prefer to work for large corpoeates due to the fact that small local businesses are being replaced with large ones.; corpoeates; 
http://realec.org/index.xhtml#/exam/exam2017_5_1/EGe_26_2; Derivation;  If ordinal person would like to start out a carier due to his own deal, he needs space for development.; ordinal; ordinary
http://realec.org/index.xhtml#/exam/exam2017_5_1/EGe_26_1; Derivation; ﻿The bar chart below demonstrates the data about two types of books production in 2014 and predictable changes by 2018 for four countries.; predictable; predicted
http://realec.org/index.xhtml#/exam/exam2017_5_1/EGe_22_2; Derivation; Moreover, the teachers should motivate the youth, make children to hear them, because teachers are mentors.; ; the 
http://realec.org/index.xhtml#/exam/exam2017_5_2/EGe_214_2; Derivation;  Probably their country makes bad quality films having no plot, with absolutely non-talanted cast.; non-talanted; untalented
http://realec.org/index.xhtml#/exam/exam2017_5_2/EGe_135_1; Derivation; 

Looking in details, it may be seen from the first chart that white population outnumbered non-white in the UK during the whole year.; in details; in more detail
http://realec.org/index.xhtml#/exam/exam2017_5_2/EGe_249_1; Derivation; ﻿Graffic demonstrates us maximum and minimum temperatures in two cities: Yakutsk and Rio de Janeiro.; Graffic; The graph
http://realec.org/index.xhtml#/exam/exam2017_5_2/EGe_249_1; Derivation;  The difference is not only in average of temperatures but also in the second graffic we can see a huge movement during the year.; graffic; graph
http://realec.org/index.xhtml#/exam/exam2017_5_2/EGe_249_1; Derivation; 
To sum up, taking everything into consideration, people can compare climates of two countries and see the differences between of two graffics.; graffics; graphs
http://realec.org/index.xhtml#/exam/exam2017_5_2/EGe_148_2; Derivation; ﻿It is not a secret that today an enormous number of crimes are commited.; commited; committed
http://realec.org/index.xhtml#/exam/exam2017_5_2/EGe_162_2; Derivation;  In my view, on the contrary, it makes local film production more undesirible than it already is as this policy is definitely too aggresive.; more undesirible; less desirable
http://realec.org/index.xhtml#/exam/exam2017_5_2/EGe_147_2; Derivation; ﻿In the modern world the number of perpetrations committed by adolescents is higher than whenever in the past.; whenever; ever
http://realec.org/index.xhtml#/exam/exam2017_5_2/EGe_145_2; Derivation;  It is told that many of them were born and live in the areas where a burglary or even a murdery are everyday things.; murdery; murder
